latency,type,urevent,urtype,ID,ProblemItem,confidence,confidence_rt,difficulty,fluency,participant,response,response_time,confidence_level,epoch,Subject,ERN_FzCz,Pe_PzCz
103,response,3,201,75,18 * 9 = 162,49.7666666666667,2.84727474022657,hard,high,cnf006,correct,1.11688825266901,med,1,cnf006,4.667012,0.8860453
461,response,6,201,94,8 * 8 = 64,97.9833333333333,2.33102414442692,easy,high,cnf006,correct,1.11684848321602,high,2,cnf006,-9.608008,-2.930082
819,response,9,201,70,17 * 9 = 153,3.56666666666666,2.26427447528113,hard,high,cnf006,correct,1.3501679613255,low,3,cnf006,8.028911,9.220149
1177,response,12,200,79,19 * 8 = 154,2.83333333333334,3.01429387892131,hard,low,cnf006,error,1.13351280859206,low,4,cnf006,3.89524,-5.718585
1535,response,15,200,71,18 * 4 = 74,30.15,3.63114428648259,hard,low,cnf006,error,1.60040898306761,low,5,cnf006,0.8888131,-2.734657
1893,response,18,201,86,7 * 4 = 28,99.5416666666667,2.04822420165874,easy,high,cnf006,correct,1.24993761989754,high,6,cnf006,17.51946,15.10397
2251,response,21,201,67,17 * 6 = 104,1,4.48016246419866,hard,low,cnf006,correct,1.71650473482441,low,7,cnf006,8.887087,-0.4427225
2609,response,26,201,87,7 * 6 = 42,100,2.29785841982812,easy,high,cnf006,correct,1.08352496393491,high,8,cnf006,14.97109,-8.001039
2967,response,29,201,66,17 * 4 = 66,99.0833333333333,2.7973038937198,hard,low,cnf006,correct,1.61685457697604,high,9,cnf006,-10.34095,-7.850182
3325,response,32,200,80,19 * 9 = 171,32.35,2.16405022749677,hard,high,cnf006,error,1.4834690943826,low,10,cnf006,-5.318768,-8.403072
3683,response,35,201,92,8 * 6 = 48,65.9916666666667,2.29734783247113,easy,high,cnf006,correct,1.65010721690487,med,11,cnf006,-6.730264,-9.722945
4041,response,38,200,77,19 * 6 = 116,48.7583333333333,3.29741742881015,hard,low,cnf006,error,1.58343163423706,med,12,cnf006,12.63307,1.327558
4399,response,41,200,85,6 * 9 = 56,98.7166666666667,2.01434743928257,easy,low,cnf006,error,1.11692096607294,high,13,cnf006,18.53514,8.095861
4757,response,44,201,90,7 * 9 = 65,99.725,2.69787503301632,easy,low,cnf006,correct,0.983604759327136,high,14,cnf006,4.860766,-0.7066338
5115,response,47,201,68,17 * 7 = 119,32.7166666666667,2.13111927022692,hard,high,cnf006,correct,1.78373484348413,low,15,cnf006,-18.90939,-17.73921
5473,response,50,201,96,9 * 4 = 36,99.175,2.21388637123164,easy,high,cnf006,correct,1.1835176513996,high,16,cnf006,4.248801,2.56596
5831,response,53,201,65,16 * 9 = 144,67.0916666666667,2.4306364574004,hard,high,cnf006,correct,1.10017742274795,high,17,cnf006,8.030519,2.947053
6189,response,56,201,74,18 * 8 = 146,32.8083333333333,2.26388415833935,hard,low,cnf006,correct,1.36684928508475,low,18,cnf006,-4.085814,-2.424529
6547,response,59,201,91,8 * 4 = 32,100,2.14768866240047,easy,high,cnf006,correct,0.966934660915285,high,19,cnf006,2.292114,16.56647
6905,response,62,201,84,6 * 8 = 48,98.625,2.88098120002542,easy,high,cnf006,correct,1.33350748463999,high,20,cnf006,4.804384,-0.33548
7263,response,65,201,76,19 * 4 = 74,33.2666666666667,2.83082914631814,hard,low,cnf006,correct,1.38343727891333,low,21,cnf006,-3.116587,7.093708
7621,response,68,200,78,19 * 7 = 133,1,3.06372815964278,hard,high,cnf006,error,1.56692253763322,low,22,cnf006,-4.973807,16.26208
7979,response,71,201,88,7 * 7 = 47,99.725,2.19744238094427,easy,low,cnf006,correct,1.21630364295561,high,23,cnf006,0.4694943,2.256389
8337,response,74,201,69,17 * 8 = 134,68.1916666666667,3.2648020607885,hard,low,cnf006,correct,1.2172542589251,high,24,cnf006,-3.743442,-5.532849
8695,response,77,201,81,6 * 4 = 24,99.2666666666667,1.9823231594637,easy,high,cnf006,correct,1.13311415282078,high,25,cnf006,1.639763,14.16833
9053,response,80,200,73,18 * 7 = 126,1.825,4.2137731568655,hard,high,cnf006,error,1.63306796899997,low,26,cnf006,-5.321921,-13.48136
9411,response,83,201,93,8 * 7 = 54,100,2.163775690482,easy,low,cnf006,correct,1.2501864990918,high,27,cnf006,4.21289,8.209279
9769,response,86,200,89,7 * 8 = 56,99.6333333333333,3.03053228731733,easy,high,cnf006,error,1.43355084606446,high,28,cnf006,2.855044,11.35291
10127,response,89,201,72,18 * 6 = 106,32.35,2.96410879096948,hard,low,cnf006,correct,1.450194966048,low,29,cnf006,1.794632,14.70426
10485,response,92,201,83,6 * 7 = 44,98.8083333333333,1.98098864068743,easy,low,cnf006,correct,1.1834830136504,high,30,cnf006,-1.102694,-0.5506165
10843,response,95,201,82,6 * 6 = 36,99.5416666666667,1.88129294058308,easy,high,cnf006,correct,0.900141373625956,high,31,cnf006,4.715988,-5.792985
11201,response,98,201,4,6 * 8 = 48,99.8166666666667,2.0296647377545,easy,high,cnf006,correct,1.81678350514267,high,32,cnf006,2.07006,5.401886
11559,response,101,201,6,7 * 4 = 28,99.9083333333333,2.08127639128361,easy,high,cnf006,correct,0.900099679944105,high,33,cnf006,11.52323,9.563617
11917,response,104,201,12,8 * 6 = 48,99.6333333333333,2.01432466809638,easy,high,cnf006,correct,1.1667968792608,high,34,cnf006,-1.059444,-9.454427
12275,response,107,200,32,18 * 6 = 108,67,2.46416780364234,hard,high,cnf006,error,1.4668201636523,high,35,cnf006,3.191674,8.248086
12633,response,110,201,26,17 * 4 = 68,100,2.3802714451449,hard,high,cnf006,correct,2.13362698524725,high,36,cnf006,3.298973,-0.1354246
12991,response,113,201,2,6 * 6 = 36,99.45,2.18118569150101,easy,high,cnf006,correct,0.783558126422577,high,37,cnf006,12.90538,-2.463573
13349,response,116,201,10,7 * 9 = 65,100,2.66432059498038,easy,low,cnf006,correct,0.900181463686749,high,38,cnf006,3.378695,17.81241
13707,response,119,200,23,16 * 7 = 114,32.35,3.34753805189393,hard,low,cnf006,error,2.25061658548657,low,39,cnf006,-0.1435705,10.49026
14065,response,122,201,15,8 * 9 = 74,99.3583333333333,2.61421761161182,easy,low,cnf006,correct,1.48394215747248,high,40,cnf006,10.55015,6.700708
14423,response,125,201,13,8 * 7 = 54,32.7166666666667,2.3797948542051,easy,low,cnf006,correct,1.84983216680121,low,41,cnf006,-4.729493,-12.00034
14781,response,128,201,1,6 * 4 = 24,99.725,2.68088100687601,easy,high,cnf006,correct,0.950223830994219,high,42,cnf006,5.722384,4.411485
15139,response,131,200,21,16 * 4 = 64,1,3.5476456215838,hard,high,cnf006,error,1.166860061232,low,43,cnf006,4.861505,10.71725
15497,response,134,201,3,6 * 7 = 44,100,3.2636391276028,easy,low,cnf006,correct,2.13353654195089,high,44,cnf006,-3.43581,-7.204911
15855,response,137,200,29,17 * 8 = 136,1.36666666666667,2.88074450811837,hard,high,cnf006,error,1.45017828862183,low,45,cnf006,-2.914337,2.889038
16213,response,140,201,7,7 * 6 = 42,99.175,2.09785251854919,easy,high,cnf006,correct,1.0501700140303,high,46,cnf006,1.279008,-7.845221
16571,response,143,201,11,8 * 4 = 32,99.2666666666667,2.06444112176541,easy,high,cnf006,correct,0.966886552749202,high,47,cnf006,5.026762,-3.572191
16929,response,146,201,17,9 * 6 = 54,99.6333333333333,2.24803510471247,easy,high,cnf006,correct,0.783414122881368,high,48,cnf006,6.314997,2.154748
17287,response,149,201,25,16 * 9 = 146,1,2.91421331383754,hard,low,cnf006,correct,1.66730458009988,low,49,cnf006,-2.397159,-13.56844
17645,response,152,201,16,9 * 4 = 36,100,2.36477614659816,easy,high,cnf006,correct,1.53372409939766,high,50,cnf006,4.082607,5.790755
18003,response,155,201,8,7 * 7 = 47,99.6333333333333,1.78051673225127,easy,low,cnf006,correct,1.15019798080903,high,51,cnf006,-4.10496,-7.011517
18361,response,158,201,28,17 * 7 = 117,67.825,4.29748093150556,hard,low,cnf006,correct,1.15015564567875,high,52,cnf006,4.637693,-3.255089
18719,response,161,200,22,16 * 6 = 96,33.0833333333333,2.38054951000959,hard,high,cnf006,error,1.80006465723272,low,53,cnf006,-2.420077,-16.06239
19077,response,164,201,14,8 * 8 = 64,98.9,2.01411652041133,easy,high,cnf006,correct,0.816734114196151,high,54,cnf006,-4.355824,0.9048033
19435,response,167,200,31,18 * 4 = 72,1.825,2.44740245118737,hard,high,cnf006,error,1.55020144465379,low,55,cnf006,5.029837,2.831065
19793,response,170,201,9,7 * 8 = 56,98.7166666666667,2.13131170265842,easy,high,cnf006,correct,1.11666342732497,high,56,cnf006,-5.363916,-8.908487
20151,response,173,201,20,9 * 9 = 83,99.45,2.2141641152557,easy,low,cnf006,correct,1.31683097186033,high,57,cnf006,5.825096,7.599644
20509,response,176,200,5,6 * 9 = 56,99.5416666666667,2.03103998815641,easy,low,cnf006,error,1.11681127967313,high,58,cnf006,6.918816,-12.76615
