latency,type,urevent,urtype,ID,ProblemItem,confidence,confidence_rt,difficulty,fluency,participant,response,response_time,confidence_level,epoch,Subject,P3_Pz
52,problem,2,75,75,18 * 9 = 162,49.7666666666667,2.84727474022657,hard,high,cnf006,correct,1.11688825266901,med,1,cnf006,-8.185066
359,problem,5,94,94,8 * 8 = 64,97.9833333333333,2.33102414442692,easy,high,cnf006,correct,1.11684848321602,high,2,cnf006,0.9849612
666,problem,8,70,70,17 * 9 = 153,3.56666666666666,2.26427447528113,hard,high,cnf006,correct,1.3501679613255,low,3,cnf006,-4.052356
973,problem,11,79,79,19 * 8 = 154,2.83333333333334,3.01429387892131,hard,low,cnf006,error,1.13351280859206,low,4,cnf006,-3.232737
1280,problem,14,71,71,18 * 4 = 74,30.15,3.63114428648259,hard,low,cnf006,error,1.60040898306761,low,5,cnf006,-1.83524
1587,problem,17,86,86,7 * 4 = 28,99.5416666666667,2.04822420165874,easy,high,cnf006,correct,1.24993761989754,high,6,cnf006,1.12494
1894,problem,20,67,67,17 * 6 = 104,1,4.48016246419866,hard,low,cnf006,correct,1.71650473482441,low,7,cnf006,9.719219
2201,problem,23,95,95,8 * 9 = 74,NA,NA,easy,low,cnf006,error,2.46676115097944,,8,cnf006,-1.725182
2508,problem,25,87,87,7 * 6 = 42,100,2.29785841982812,easy,high,cnf006,correct,1.08352496393491,high,9,cnf006,-12.63268
2815,problem,28,66,66,17 * 4 = 66,99.0833333333333,2.7973038937198,hard,low,cnf006,correct,1.61685457697604,high,10,cnf006,-11.45046
3122,problem,31,80,80,19 * 9 = 171,32.35,2.16405022749677,hard,high,cnf006,error,1.4834690943826,low,11,cnf006,-2.079
3429,problem,34,92,92,8 * 6 = 48,65.9916666666667,2.29734783247113,easy,high,cnf006,correct,1.65010721690487,med,12,cnf006,-9.799566
3736,problem,37,77,77,19 * 6 = 116,48.7583333333333,3.29741742881015,hard,low,cnf006,error,1.58343163423706,med,13,cnf006,-8.065438
4043,problem,40,85,85,6 * 9 = 56,98.7166666666667,2.01434743928257,easy,low,cnf006,error,1.11692096607294,high,14,cnf006,5.598735
4350,problem,43,90,90,7 * 9 = 65,99.725,2.69787503301632,easy,low,cnf006,correct,0.983604759327136,high,15,cnf006,-1.413726
4657,problem,46,68,68,17 * 7 = 119,32.7166666666667,2.13111927022692,hard,high,cnf006,correct,1.78373484348413,low,16,cnf006,19.075
4964,problem,49,96,96,9 * 4 = 36,99.175,2.21388637123164,easy,high,cnf006,correct,1.1835176513996,high,17,cnf006,-9.348846
5271,problem,52,65,65,16 * 9 = 144,67.0916666666667,2.4306364574004,hard,high,cnf006,correct,1.10017742274795,high,18,cnf006,-0.4228867
5578,problem,55,74,74,18 * 8 = 146,32.8083333333333,2.26388415833935,hard,low,cnf006,correct,1.36684928508475,low,19,cnf006,-9.970194
5885,problem,58,91,91,8 * 4 = 32,100,2.14768866240047,easy,high,cnf006,correct,0.966934660915285,high,20,cnf006,-3.326262
6192,problem,61,84,84,6 * 8 = 48,98.625,2.88098120002542,easy,high,cnf006,correct,1.33350748463999,high,21,cnf006,0.6741358
6499,problem,64,76,76,19 * 4 = 74,33.2666666666667,2.83082914631814,hard,low,cnf006,correct,1.38343727891333,low,22,cnf006,8.811045
6806,problem,67,78,78,19 * 7 = 133,1,3.06372815964278,hard,high,cnf006,error,1.56692253763322,low,23,cnf006,3.807117
7113,problem,70,88,88,7 * 7 = 47,99.725,2.19744238094427,easy,low,cnf006,correct,1.21630364295561,high,24,cnf006,-9.281514
7420,problem,73,69,69,17 * 8 = 134,68.1916666666667,3.2648020607885,hard,low,cnf006,correct,1.2172542589251,high,25,cnf006,3.142428
7727,problem,76,81,81,6 * 4 = 24,99.2666666666667,1.9823231594637,easy,high,cnf006,correct,1.13311415282078,high,26,cnf006,-11.46784
8034,problem,79,73,73,18 * 7 = 126,1.825,4.2137731568655,hard,high,cnf006,error,1.63306796899997,low,27,cnf006,11.67568
8341,problem,82,93,93,8 * 7 = 54,100,2.163775690482,easy,low,cnf006,correct,1.2501864990918,high,28,cnf006,-2.725329
8648,problem,85,89,89,7 * 8 = 56,99.6333333333333,3.03053228731733,easy,high,cnf006,error,1.43355084606446,high,29,cnf006,-0.9271529
8955,problem,88,72,72,18 * 6 = 106,32.35,2.96410879096948,hard,low,cnf006,correct,1.450194966048,low,30,cnf006,-5.849073
9262,problem,91,83,83,6 * 7 = 44,98.8083333333333,1.98098864068743,easy,low,cnf006,correct,1.1834830136504,high,31,cnf006,10.59586
